ID,Precision,Recall,Accuracy
0,0.0,0.0,0.5
1,0.0,0.0,0.5
2,0.0,0.0,0.5
3,0.0,0.0,0.5
4,0.0,0.0,0.5
5,0.0,0.0,0.5
6,0.0,0.0,0.5
7,0.0,0.0,0.5
8,0.0,0.0,0.5
9,0.0,0.0,0.5
10,0.0,0.0,0.5
11,0.0,0.0,0.5
12,0.0,0.0,0.5
13,0.0,0.0,0.5
14,0.0,0.0,0.5
15,0.0,0.0,0.5
16,0.0,0.0,0.5
17,0.0,0.0,0.5
18,0.0,0.0,0.5
19,0.0,0.0,0.5
avg,0.0,0.0,0.5
